"question n","question","a","b","c","d","correct","explanationA","explanationB","explanationC","explanationD"
"11","A business analyst asks a generative AI model about the quarterly revenue of a small startup that recently entered the market. The model confidently provides a specific revenue figure and even mentions a supposed press release detailing the company's success. However, after further investigation, the analyst discovers that the startup has not yet released any financial reports, and no such press release exists. The information provided by the AI model is entirely fabricated despite sounding plausible. Which type of large language model limitation does this exemplify?*","Bias","Knowledge cutoff","Data dependency","Hallucinations","Hallucinations","A is incorrect because bias refers to the model's tendency to produce outputs that reflect imbalances or prejudices present in its training data, not necessarily the fabrication of entirely new information. [28]","B is incorrect because knowledge cutoff refers to the point in time after which the model has not been trained on new information. While this can lead to an inability to answer questions about recent events, in this scenario, the model is generating non-existent information rather than stating it doesn't know or providing outdated information. [28]","C is incorrect because data dependency highlights that the performance of foundation models relies heavily on the quality and completeness of their training data. While a lack of specific data might lead to an inability to answer, hallucinations involve generating factually incorrect or nonsensical responses. [28]","D is correct because hallucinations occur when foundation models produce outputs that are not accurate or based on real information. The AI model fabricates revenue data and a press release that does not exist, which is a clear example of a hallucination. [28]"
"12","A generative AI tool that answers employee policy questions is providing outdated and inaccurate information, causing confusion. The company wants the tool to give reliable answers based on the latest official documents. What should the organization do?*","Fine-tune the underlying language model with a broader dataset of general knowledge.","Increase the temperature setting of the language model.","Implement grounding techniques.","Reduce the token count parameter.","C","A is incorrect because fine-tuning with a broader general knowledge dataset would not necessarily ensure the AI adheres to the company's specific and latest internal policies. [29]","B is incorrect because increasing the temperature parameter would likely increase inaccurate responses. [29]","C is correct because grounding connects the AI's output to verifiable information sources, such as internal documents, improving accuracy and reliability. Retrieval-Augmented Generation (RAG) is a specific grounding method that retrieves relevant information before generating a response. [27, 29]","D is incorrect because reducing the token count only affects the length of the responses, not their accuracy. [29]"
"13","A sales team wants to create dynamic and personalized video pitches for potential clients. They receive client information in various formats and need an AI model that can transform this information into engaging video content tailored to each client's specific needs and challenges. Which Google model should they use?*","Gemma","Gemini","Imagen","Veo","D","A is incorrect because Gemma is a family of lightweight, open models primarily focused on developer-friendly and customizable solutions. [30]","B is incorrect because Gemini is a multimodal model capable of understanding and operating across diverse data formats like text, images, and audio for various tasks. However, its primary function is not specifically video content creation for sales. [30]","C is incorrect because Imagen specializes in generating high-quality images from textual descriptions, which does not directly address the team's need for video pitch creation. [30]","D is correct because Veo is a model capable of generating video content from text or still images. [16, 30]"
"14","A growing retail company with fragmented phone, email, and basic website chat support needs a unified cloud solution. They require integrated communication channels, consistent customer experiences, and scalable support that ensures security and privacy. Which Google Cloud offering should they use?*","Vertex AI Platform","Google Cloud Contact Center as a Service","Conversational AI","Vertex AI Search","Google Cloud Contact Center as a Service","A is incorrect because Vertex AI Platform is Google Cloud's unified machine learning platform for building, deploying, and managing ML models. [3, 31]","B is correct because Google Cloud Contact Center as a Service (CCaaS) offers a complete cloud-based contact center solution. It integrates channels (phone, text, email, etc.), ensures consistent experiences (omnichannel support), and provides scalable and secure support. [23, 31, 32]","C is incorrect because Conversational AI is a broader term referring to the technology used to build interactive systems like chatbots. Option B does not represent a full contact center infrastructure offering the required integration and scalability. [23, 32]","D is incorrect because Vertex AI Search is a Google Cloud service that allows developers to integrate advanced search capabilities. It does not provide the integrated communication channels, agent management, and comprehensive features required for a unified contact center solution. [23, 32]"
"15","An organization is seeking to improve how its employees access and use internal company information scattered across various systems. They want to provide their knowledge workers with tools that can understand and use this data to enhance productivity and decision-making. What is a key benefit of using Google Cloud Agentspace in this scenario?*","Agentspace primarily focuses on enhancing external customer engagement through AI-powered chatbots.","Agentspace directly manages the underlying infrastructure and hardware required for AI model training.","Agentspace allows employees to find and use internal information more easily by creating custom AI agents that can access and understand data from various enterprise sources.","Agentspace is mainly designed for building and deploying custom machine learning models for predictive analytics.","C","A is incorrect because, while Google offers tools for external customer engagement, Google Agentspace is specifically designed to help internal teams use their company's information more effectively. [33]","B is incorrect because, while Google Cloud provides AI-optimized infrastructure, Google Agentspace is a platform built on top of this infrastructure. It focuses on the creation and deployment of AI agents, not the direct management of hardware. [33, 34]","C is correct because Google Agentspace uses AI to create customized agents that can access and understand data from various sources within an organization, regardless of where it is stored. [22, 33, 35]","D is incorrect because, while Vertex AI Platform is Google Cloud's unified machine learning platform for building, deploying, and managing models, Google Agentspace is specifically for deploying AI agents that leverage enterprise data for knowledge work. [3, 33]"
"16","What is reinforcement learning?*","Learning from labeled data with correct output pairs.","Learning by identifying patterns in unlabeled data.","Learning through interaction and feedback.","Learning by training on vast data to generate new content.","C","A is incorrect because this definition describes supervised learning. [36, 37]","B is incorrect because this definition describes unsupervised learning. [36, 37]","C is correct because reinforcement learning is accurately defined as a process where an agent learns by interacting with an environment and receiving feedback in the form of rewards or penalties. [11, 36]","D is incorrect because this describes the process to train generative AI models. [1, 10, 36]"
"17","A company is developing a system to automatically categorize customer support emails. They have a collection of thousands of past emails, and each email has been manually reviewed and tagged with a category such as ""Billing Inquiry,"" ""Technical Support,"" or ""Feature Request."" What type of data is this?*","Unlabeled data","Labeled data","Structured data","Raw data","B","A is incorrect because unlabeled data is simply data that is not tagged or labeled in any way. [38]","B is correct because these categories function as labels, which assigns meaning to each email by providing a corresponding output. This pairing of input (email) and output (label) defines labeled data, which is crucial for supervised machine learning models. [37, 39]","C is incorrect because structured data has information neatly arranged in tables and is easy to search. While the email categories might be structured, the content of the emails themselves (the text) is likely unstructured data. [39, 40]","D is incorrect because raw data refers to data that has not been processed or formatted for use; the manual review and tagging process has transformed them into labeled data. [41]"
"18","What is the definition of a generative AI (gen AI) model?*","A physical device that houses the hardware components of a gen AI system.","A complex algorithm trained on vast amounts of data to learn patterns and relationships.","A user interface that allows users to interact with a gen AI system.","A set of rules and guidelines governing responsible development and use of gen AI.","B","A is incorrect because a gen AI model is not a physical device. [42]","B is correct because a generative AI model operates as a sophisticated algorithm. This algorithm undergoes an extensive training process on remarkably large and diverse datasets to identify intricate patterns, subtle nuances, and complex interrelationships present within the data. [10, 42, 43]","C is incorrect because a gen AI model is not a user interface. [42]","D is incorrect because a gen AI model is not a set of rules and guidelines. [42]"
"19","A video game company created a virtual reality game with virtual characters that can interact with users in a more natural and intuitive way by using gestures and facial expressions to communicate. What type of agent is this?*","Creative agent","Workflow agent","Virtual assistant agent","Conversational agent","D","A is incorrect because while creative agents can be used in games, the primary function described here aligns more with a conversational agent. [44]","B is incorrect because a workflow agent focuses on automating tasks, not natural interaction. [44]","C is incorrect because a virtual assistant typically provides support and information, not the interactive dialogue described. [44]","D is correct because a conversational agent is designed to understand and respond in a way that makes sense, aligning with the described interaction. [23, 44]"
"20","A software company has developers who need to write, review, debug, and generate code from natural language descriptions by using generative AI. What type of agent is this? *","Data analysis agent","Workflow agent","Data agent","Code agent","D","A is incorrect because a data analysis agent supports data-related tasks and not specifically code tasks. [45]","B is incorrect because a workflow agent focuses on automating tasks, not the interactive code assistance described. [45]","C is incorrect because a data agent analyzes data, not code, to identify trends and insights. [45]","D is correct because a code agent can assist developers in writing, reviewing, and debugging code, and even generating code from natural language descriptions. [2, 45]"
"21","An advertising agency needs to quickly create many different photorealistic images from text descriptions for client campaigns because traditional photoshoots are too slow and costly. The agency's goal is to generate high-quality visuals rapidly from text to improve campaign speed and lower expenses. Which Google foundation model should be used?*","Gemini","Gemma","Veo","Imagen","Imagen","A is incorrect because while Gemini is multimodal, Imagen is more specialized for photorealistic image generation from text. [46]","B is incorrect because Gemma is focused on text and cannot create images. [46]","C is incorrect because Veo generates videos, not the still images required by the agency. [16, 46]","D is correct because Imagen's main strength is generating high-quality images from text, which directly solves the agency's problem of needing fast and affordable visual content creation for advertising. [16, 46]"
"22","A research scientist wants to use Veo to visualize live, fluctuating data streams on a real-time dashboard. Why would Veo be a poor choice for this particular task?*","Veo generates videos from static inputs like text or images and cannot process or dynamically visualize live data.","Veo may lack specific scientific visualization styles needed for accurate data representation.","Veo use for this scenario would require too many computational resources.","Veo is designed for short-form video, not continuous, long-duration live data displays.","A","A is correct because Veo generates videos from static inputs (text, images) and cannot process or dynamically visualize live data. The research scientist's task requires a system capable of real-time processing and visualization of live, fluctuating data streams, which is fundamentally different from Veo's design. [16, 47]","B is incorrect because while specific scientific visualization styles are important, the primary reason Veo is unsuitable is its inability to handle live, fluctuating data streams. Its design for static inputs makes it incapable of real-time dynamic visualization. [47, 48]","C is incorrect because the provided sources do not contain information about Veo's computational resource requirements. The core issue is the functional mismatch between Veo's design and the task's need for dynamic data processing. [48]","D is incorrect because the sources do not specify limitations on video duration for Veo. The main problem remains Veo's fundamental inability to process and dynamically visualize live, fluctuating data in real-time. [48]"
"23","A company sells custom-designed phone cases on their website. How should Imagen be effectively used?*","To generate realistic images of phone cases on devices from text descriptions of designs.","To analyze customer feedback to identify popular phone case design trends.","To predict demand for different phone case designs based on sales data.","To transcribe customer audio feedback on prototypes of phone case designs.","A","A is correct because Imagen is trained to generate high-quality images from text descriptions. The company can use Imagen to create realistic visuals of their custom phone case designs by providing textual descriptions, which is ideal for product mockups on their website. [16, 49]","B describes text analysis, a task better suited for language models like Gemini, not Imagen's image generation capabilities. [8, 49]","C involves data analysis and prediction, which are typically handled by traditional machine learning models and analytical tools, not Imagen. [49]","D describes audio processing and transcription, a task for which speech-to-text models would be appropriate, not Imagen. [49]"
"24","A company lacks extensive in-house machine learning and AI expertise. How does Google Cloud democratize AI?*","By offering exclusive access to its most powerful AI models for high-spending clients.","By providing fully automated AI solutions requiring no technical user input.","By providing a comprehensive AI platform with low-code/no-code tools, pre-trained models, and easy-to-use APIs.","By offering free custom AI solution development and deployment for all businesses.","C","A is incorrect because it describes limiting access based on financial commitment, rather than making AI widely available. Democratization implies broader access for all. [50]","B is incorrect because while Google Cloud offers tools that automate certain tasks and simplify workflows, the platform offers different levels of technical input, from no-code/low-code to full code development, indicating they are not universally ""fully automated requiring no technical input."" [50]","C is correct because Google Cloud's AI platform democratizes AI development by offering low-code/no-code tools such as Vertex AI AutoML, access to a wide range of pre-trained models in Model Garden, and user-friendly APIs. [3, 34, 50, 51]","D is incorrect because this describes an unsustainable business model and circumvents the need for users to use the platform to build their own solutions. [50]"
"25","A marketing team is brainstorming creative ideas for a new social media campaign. They want to quickly generate various taglines and initial post drafts to explore different angles and messaging options. They need a Google Cloud prebuilt generative AI tool without additional setup that allows for rapid content creation and experimentation. What should the team do?*","Use NotebookLM to upload past successful campaigns and analyze their key elements.","Use Gemini for Google Workspace within Google Slides to prepare a presentation outlining their social media campaign strategy.","Use the Gemini app to create taglines and social media post drafts that align with their campaign goals and target audience.","Create a custom Gem in Gemini Advanced with specific brand guidelines and target audience profiles.","C","A is incorrect because NotebookLM is primarily for analyzing uploaded documents and extracting insights, not for rapid, open-ended creative content generation for social media. [20, 52]","B is incorrect because while Gemini for Google Workspace can help refine and present content, it is not the primary tool for initial, rapid generation of multiple creative taglines and post drafts. [2, 52]","C is correct because the Gemini app is designed for direct interaction and content generation through prompting. The marketing team can input their goals and ask Gemini to generate multiple options for rapid brainstorming and exploration. [2, 52]","D is incorrect because while creating a custom Gem can ensure brand consistency, it requires more setup and is less suited for the initial, exploratory phase of generating a wide range of creative ideas quickly. [52, 53]"
"26","A large manufacturing company wants to implement AI to monitor quality control on its assembly line using specialized hardware devices running close to the production process. They need an AI model that is highly efficient and compact to run locally on these resource-constrained edge devices. Which Google model is specifically designed for this purpose?","Gemini","Veo","Imagen","Gemini Nano","D","A is incorrect because Gemini is a powerful general-purpose multimodal model, but it is not specifically highlighted as the most efficient and compact model designed for edge devices compared to Nano. [8]","B is incorrect because Veo is a model for generating video content and is not designed for compact edge deployment.","C is incorrect because Imagen is a text-to-image generation model and is not designed for compact edge deployment.","D is correct because Gemini Nano is Google's most efficient and compact AI model, specifically designed to run on devices. [54]"
"27","A financial services firm is adopting a new gen AI strategy. Senior management is defining the core vision and prioritizing use cases based on clear business value, while departmental teams are encouraged to find practical applications and provide feedback. What type of strategic approach is the firm using?","Bottom-up approach","Resourcing-centric approach","Continuous improvement approach","Top-down and bottom-up approach","D","A is incorrect because the strategy includes leadership setting the vision (top-down) in addition to employees identifying applications (bottom-up). [18]","B is incorrect because resourcing is an investment aspect, not the overall structural strategy of combining organizational efforts. [55]","C is incorrect because continuous improvement is a step taken after implementation, not the foundational strategy definition. [55]","D is correct because the gen AI strategy should combine a top-down approach (leadership setting the vision and strategy) with a bottom-up approach (employees identifying practical applications and providing feedback). [18]"
"28","A software development agency frequently needs to create instructional guides and tutorials that require complex, realistic video sequences based on text scripts. They need an efficient tool to generate this video content from their written materials. Which Google model should they use?","Imagen","Veo","Gemma","NotebookLM","B","A is incorrect because Imagen specializes in generating still, high-quality images from text. [16]","B is correct because Veo is a model capable of generating video content from text or still images, which fulfills the need for generating video sequences from text scripts. [16, 30]","C is incorrect because Gemma is a family of lightweight, open models primarily focused on text and code solutions.","D is incorrect because NotebookLM is a research assistant tool for analyzing uploaded documents and generating insights, not for video creation. [20]"
"29","A business wants to ensure its deployed gen AI models, which are critical for customer interactions, adhere to principles that prevent them from causing harm, such as generating offensive content or perpetuating societal inequalities. Which aspect of Responsible AI is the company focusing on?","Secure AI","Ethical AI","Infrastructure","Data Quality","B","A is incorrect because Secure AI focuses on protecting AI applications from harm (risks like attacks or misuse). [37]","B is correct because Ethical AI focuses on ensuring AI applications don’t cause harm and are used in an ethical manner, which includes preventing biased or offensive outputs. [18, 37]","C is incorrect because infrastructure provides the core computing resources but does not govern the moral use of the models. [34]","D is incorrect because data quality ensures accuracy and consistency but is a prerequisite for Ethical AI, not the overarching concept itself. [40]"
"30","A machine learning team needs a platform that allows them to use pre-existing, trained models from Google, third-party providers, or open-source communities, without needing to train a model from scratch. Which component of Vertex AI provides this capability?","Vertex AI AutoML","Model Builder","Model Garden","Lite Runtime (LiteRT)","C","A is incorrect because AutoML is a tool within Model Builder used to create and train models with minimal technical knowledge. [34]","B is incorrect because Model Builder is used for training custom models (either fully custom or via AutoML), not for picking existing models. [34]","C is correct because Model Garden is the Vertex AI component where users can pick from existing Google, third-party, or open-source models. [3]","D is incorrect because Lite Runtime (LiteRT) is a tool for deploying AI models on edge devices. [54]"
"31","A retail company is receiving thousands of customer reviews daily. They need an ML system to automatically classify these reviews into predefined categories like ""Product Quality,"" ""Shipping Issue,"" or ""Customer Service"" to route them correctly. They have a large existing dataset where every review is already assigned the correct category. What learning approach is appropriate for training this classifier?","Reinforcement learning","Unsupervised learning","Supervised learning","Deep learning","C","A is incorrect because reinforcement learning learns through interaction and feedback, which is not the scenario described. [11]","B is incorrect because unsupervised learning uses unlabeled data to find patterns; the data in this scenario is already labeled. [37]","C is correct because the system is learning from labeled data (reviews paired with correct output categories), which is the definition of Supervised learning. [37, 39]","D is incorrect because deep learning is a subset of ML (using multi-layered neural networks) but is not the primary learning paradigm defined by the labeled data structure. [10]"
"32","A startup using a foundational LLM finds that when they prompt the model with a complex, multi-step problem, the accuracy of the final answer improves significantly if they guide the model by showing it examples that include intermediate reasoning steps. Which prompting technique are they leveraging?","Zero-shot prompting","Prompt Chaining","Chain-of-Thought (CoT) prompting","ReAct prompting","C","A is incorrect because zero-shot prompting involves asking the model to complete a task with no prior examples. [53]","B is incorrect because Prompt Chaining refers to continuing a conversation within the same chatbot to maintain context. [53]","C is correct because Chain-of-Thought (CoT) prompting is a technique used to guide an LLM through a problem-solving process by providing examples with intermediate reasoning steps. [56]","D is incorrect because ReAct (Reason and act) allows the LLM to reason and take action on a user query, often involving external tools. [56]"
"33","A data science team is preparing large volumes of raw customer interaction logs for a new generative AI model. They must ensure the data is accurate, complete, consistent, and relevant before training begins. What critical aspect of data are they focused on?","Data Accessibility","Data Unstructuredness","Data Quality","Data Ingestion","C","A is incorrect because Data Accessibility focuses on ensuring data is readily available and in the proper format. [40]","B is incorrect because unstructured data describes the lack of predefined structure, not a quality metric. [40]","C is correct because Data Quality involves ensuring the data is accurate, complete, consistent, and relevant. [40]","D is incorrect because Data Ingestion is the process of collecting and transforming raw data, but the focus here is on the integrity criteria of the data itself. [57]"
"34","A marketing manager uses a Gemini tool to compose a complex email to a client, which automatically incorporates key bullet points from a recent meeting summary stored in Google Drive. Which specific Google Cloud application is enabling this integration and automation within the productivity suite?","Gemini app","Vertex AI","Gemini for Google Cloud","Gemini for Google Workspace","D","A is incorrect because the Gemini app is Google’s generative AI chatbot used for general tasks, not the direct integration within Workspace applications. [2]","B is incorrect because Vertex AI is the ML platform for building and deploying models, not the productivity suite integrator. [3]","C is incorrect because Gemini for Google Cloud is an AI assistant specifically for Google Cloud tasks like code and security. [2]","D is correct because Gemini for Google Workspace integrates gen AI into familiar Workspace apps, allowing users to do things like compose emails in Gmail and summarize notes in Meet. [2]"
"35","A company needs to deploy a newly trained generative AI model across its global infrastructure. This requires allocating physical hardware like servers, GPUs, and TPUs, and managing the essential software needed to train, store, and run the model. Which layer of the Gen AI landscape is the company focused on?","Platform","Model","Infrastructure","Agent","C","A is incorrect because the Platform (like Vertex AI) is the layer for building and scaling AI initiatives, but it relies on the physical layer below it. [3]","B is incorrect because the Model is the ""brains"" of the AI system, not the physical resources. [14]","C is correct because Infrastructure is the foundation that provides the core computing resources needed for generative AI, including the physical hardware (servers, GPUs, and TPUs), along with essential software needed to train, store, and run AI models. [34]","D is incorrect because an Agent is an application that tries to achieve a goal using models and tools, it is not the computing foundation. [14]"
